month_id,country_id,draw,outcome
469,133,0,2489
469,133,1,2540
469,133,2,2473
470,133,0,2500
470,133,1,2514
470,133,2,2500
471,133,0,2285
471,133,1,2400
471,133,2,2300
472,133,0,2089
472,133,1,2107
472,133,2,2180
473,133,0,1820
473,133,1,2100
473,133,2,1815
474,133,0,2351
474,133,1,2250
474,133,2,2187
475,133,0,2350
475,133,1,2156
475,133,2,2250
476,133,0,2523
476,133,1,2583
476,133,2,2832
477,133,0,2850
477,133,1,2950
477,133,2,2950
478,133,0,2150
478,133,1,2200
478,133,2,2450
479,133,0,2900
479,133,1,2987
479,133,2,3157
480,133,0,2584
480,133,1,2504
480,133,2,2462
