,month_id,country_id,draw,outcome
152000,469,167,0,58
152001,469,167,1,66
152002,469,167,2,57
152003,469,167,3,45
152004,469,167,4,56
152005,469,167,5,76
152006,469,167,6,61
152007,469,167,7,66
152008,469,167,8,63
152009,469,167,9,79
152010,469,167,10,58
152011,469,167,11,64
152012,469,167,12,60
152013,469,167,13,47
152014,469,167,14,53
152015,469,167,15,67
152016,469,167,16,63
152017,469,167,17,62
152018,469,167,18,59
152019,469,167,19,68
152020,469,167,20,60
152021,469,167,21,67
152022,469,167,22,65
152023,469,167,23,68
152024,469,167,24,66
152025,469,167,25,66
152026,469,167,26,76
152027,469,167,27,56
152028,469,167,28,56
152029,469,167,29,67
152030,469,167,30,68
152031,469,167,31,68
152032,469,167,32,55
152033,469,167,33,64
152034,469,167,34,64
152035,469,167,35,60
152036,469,167,36,69
152037,469,167,37,55
152038,469,167,38,64
152039,469,167,39,65
152040,469,167,40,72
152041,469,167,41,66
152042,469,167,42,70
152043,469,167,43,69
152044,469,167,44,49
152045,469,167,45,67
152046,469,167,46,62
152047,469,167,47,46
152048,469,167,48,62
152049,469,167,49,67
152050,469,167,50,56
152051,469,167,51,61
152052,469,167,52,51
152053,469,167,53,64
152054,469,167,54,60
152055,469,167,55,59
152056,469,167,56,47
152057,469,167,57,55
152058,469,167,58,71
152059,469,167,59,58
152060,469,167,60,60
152061,469,167,61,57
152062,469,167,62,61
152063,469,167,63,57
152064,469,167,64,58
152065,469,167,65,61
152066,469,167,66,61
152067,469,167,67,70
152068,469,167,68,70
152069,469,167,69,59
152070,469,167,70,63
152071,469,167,71,65
152072,469,167,72,63
152073,469,167,73,42
152074,469,167,74,65
152075,469,167,75,73
152076,469,167,76,59
152077,469,167,77,71
152078,469,167,78,68
152079,469,167,79,50
152080,469,167,80,67
152081,469,167,81,70
152082,469,167,82,54
152083,469,167,83,63
152084,469,167,84,59
152085,469,167,85,66
152086,469,167,86,47
152087,469,167,87,66
152088,469,167,88,71
152089,469,167,89,54
152090,469,167,90,62
152091,469,167,91,56
152092,469,167,92,68
152093,469,167,93,72
152094,469,167,94,72
152095,469,167,95,52
152096,469,167,96,73
152097,469,167,97,55
152098,469,167,98,73
152099,469,167,99,79
152100,469,167,100,59
152101,469,167,101,66
152102,469,167,102,58
152103,469,167,103,73
152104,469,167,104,60
152105,469,167,105,74
152106,469,167,106,60
152107,469,167,107,70
152108,469,167,108,58
152109,469,167,109,59
152110,469,167,110,68
152111,469,167,111,70
152112,469,167,112,54
152113,469,167,113,56
152114,469,167,114,76
152115,469,167,115,70
152116,469,167,116,64
152117,469,167,117,57
152118,469,167,118,69
152119,469,167,119,54
152120,469,167,120,79
152121,469,167,121,53
152122,469,167,122,64
152123,469,167,123,74
152124,469,167,124,79
152125,469,167,125,74
152126,469,167,126,50
152127,469,167,127,62
152128,469,167,128,66
152129,469,167,129,58
152130,469,167,130,52
152131,469,167,131,74
152132,469,167,132,52
152133,469,167,133,62
152134,469,167,134,62
152135,469,167,135,67
152136,469,167,136,62
152137,469,167,137,80
152138,469,167,138,57
152139,469,167,139,67
152140,469,167,140,68
152141,469,167,141,56
152142,469,167,142,66
152143,469,167,143,68
152144,469,167,144,64
152145,469,167,145,50
152146,469,167,146,61
152147,469,167,147,54
152148,469,167,148,54
152149,469,167,149,69
152150,469,167,150,54
152151,469,167,151,69
152152,469,167,152,65
152153,469,167,153,66
152154,469,167,154,59
152155,469,167,155,63
152156,469,167,156,55
152157,469,167,157,56
152158,469,167,158,72
152159,469,167,159,65
152160,469,167,160,66
152161,469,167,161,75
152162,469,167,162,62
152163,469,167,163,58
152164,469,167,164,73
152165,469,167,165,84
152166,469,167,166,43
152167,469,167,167,58
152168,469,167,168,54
152169,469,167,169,57
152170,469,167,170,58
152171,469,167,171,62
152172,469,167,172,73
152173,469,167,173,55
152174,469,167,174,59
152175,469,167,175,70
152176,469,167,176,59
152177,469,167,177,66
152178,469,167,178,64
152179,469,167,179,57
152180,469,167,180,80
152181,469,167,181,59
152182,469,167,182,60
152183,469,167,183,80
152184,469,167,184,51
152185,469,167,185,74
152186,469,167,186,56
152187,469,167,187,71
152188,469,167,188,66
152189,469,167,189,83
152190,469,167,190,63
152191,469,167,191,64
152192,469,167,192,62
152193,469,167,193,54
152194,469,167,194,80
152195,469,167,195,69
152196,469,167,196,60
152197,469,167,197,69
152198,469,167,198,69
152199,469,167,199,62
152200,469,167,200,59
152201,469,167,201,67
152202,469,167,202,70
152203,469,167,203,57
152204,469,167,204,61
152205,469,167,205,46
152206,469,167,206,65
152207,469,167,207,52
152208,469,167,208,52
152209,469,167,209,56
152210,469,167,210,72
152211,469,167,211,61
152212,469,167,212,76
152213,469,167,213,67
152214,469,167,214,59
152215,469,167,215,65
152216,469,167,216,68
152217,469,167,217,86
152218,469,167,218,53
152219,469,167,219,61
152220,469,167,220,57
152221,469,167,221,51
152222,469,167,222,63
152223,469,167,223,80
152224,469,167,224,68
152225,469,167,225,65
152226,469,167,226,64
152227,469,167,227,62
152228,469,167,228,80
152229,469,167,229,59
152230,469,167,230,67
152231,469,167,231,56
152232,469,167,232,54
152233,469,167,233,63
152234,469,167,234,65
152235,469,167,235,46
152236,469,167,236,68
152237,469,167,237,69
152238,469,167,238,67
152239,469,167,239,64
152240,469,167,240,75
152241,469,167,241,66
152242,469,167,242,64
152243,469,167,243,71
152244,469,167,244,62
152245,469,167,245,63
152246,469,167,246,51
152247,469,167,247,56
152248,469,167,248,64
152249,469,167,249,67
152250,469,167,250,60
152251,469,167,251,70
152252,469,167,252,59
152253,469,167,253,69
152254,469,167,254,61
152255,469,167,255,69
152256,469,167,256,47
152257,469,167,257,62
152258,469,167,258,62
152259,469,167,259,67
152260,469,167,260,56
152261,469,167,261,60
152262,469,167,262,72
152263,469,167,263,60
152264,469,167,264,55
152265,469,167,265,55
152266,469,167,266,81
152267,469,167,267,58
152268,469,167,268,67
152269,469,167,269,69
152270,469,167,270,59
152271,469,167,271,72
152272,469,167,272,59
152273,469,167,273,56
152274,469,167,274,52
152275,469,167,275,57
152276,469,167,276,66
152277,469,167,277,64
152278,469,167,278,58
152279,469,167,279,52
152280,469,167,280,68
152281,469,167,281,71
152282,469,167,282,63
152283,469,167,283,69
152284,469,167,284,65
152285,469,167,285,67
152286,469,167,286,56
152287,469,167,287,61
152288,469,167,288,57
152289,469,167,289,45
152290,469,167,290,56
152291,469,167,291,57
152292,469,167,292,59
152293,469,167,293,56
152294,469,167,294,63
152295,469,167,295,61
152296,469,167,296,60
152297,469,167,297,54
152298,469,167,298,67
152299,469,167,299,56
152300,469,167,300,51
152301,469,167,301,58
152302,469,167,302,66
152303,469,167,303,52
152304,469,167,304,77
152305,469,167,305,72
152306,469,167,306,60
152307,469,167,307,60
152308,469,167,308,52
152309,469,167,309,73
152310,469,167,310,67
152311,469,167,311,64
152312,469,167,312,64
152313,469,167,313,65
152314,469,167,314,55
152315,469,167,315,68
152316,469,167,316,57
152317,469,167,317,56
152318,469,167,318,71
152319,469,167,319,45
152320,469,167,320,59
152321,469,167,321,61
152322,469,167,322,65
152323,469,167,323,54
152324,469,167,324,74
152325,469,167,325,60
152326,469,167,326,63
152327,469,167,327,52
152328,469,167,328,77
152329,469,167,329,73
152330,469,167,330,65
152331,469,167,331,61
152332,469,167,332,66
152333,469,167,333,60
152334,469,167,334,60
152335,469,167,335,75
152336,469,167,336,54
152337,469,167,337,68
152338,469,167,338,77
152339,469,167,339,60
152340,469,167,340,48
152341,469,167,341,58
152342,469,167,342,57
152343,469,167,343,63
152344,469,167,344,66
152345,469,167,345,71
152346,469,167,346,66
152347,469,167,347,59
152348,469,167,348,58
