month_id,country_id,draw,outcome
469,167,0,151
469,167,1,150
469,167,2,140
470,167,0,105
470,167,1,150
470,167,2,150
471,167,0,75
471,167,1,75
471,167,2,75
472,167,0,70
472,167,1,70
472,167,2,70
473,167,0,58
473,167,1,58
473,167,2,58
474,167,0,58
474,167,1,58
474,167,2,57
475,167,0,75
475,167,1,75
475,167,2,73
476,167,0,67
476,167,1,72
476,167,2,67
477,167,0,62
477,167,1,62
477,167,2,60
478,167,0,75
478,167,1,75
478,167,2,45
479,167,0,57
479,167,1,45
479,167,2,57
480,167,0,75
480,167,1,75
480,167,2,75
