month_id,country_id,draw,outcome
469,167,0,73
469,167,1,78
469,167,2,78
470,167,0,75
470,167,1,75
470,167,2,95
471,167,0,75
471,167,1,75
471,167,2,75
472,167,0,75
472,167,1,75
472,167,2,75
473,167,0,55
473,167,1,48
473,167,2,45
474,167,0,85
474,167,1,82
474,167,2,75
475,167,0,108
475,167,1,105
475,167,2,107
476,167,0,47
476,167,1,57
476,167,2,58
477,167,0,75
477,167,1,85
477,167,2,85
478,167,0,45
478,167,1,45
478,167,2,40
479,167,0,41
479,167,1,45
479,167,2,45
480,167,0,75
480,167,1,70
480,167,2,75
