month_id,country_id,draw,outcome
1055,167,0,0.0
1055,167,1,0.0
1055,167,2,0.0
1056,167,0,75.8360198289
1056,167,1,29.4016643288
1056,167,2,0.0
1057,167,0,88.9118631916
1057,167,1,40.3291128019
1057,167,2,0.0
1058,167,0,90.9840076846
1058,167,1,44.2471201381
1058,167,2,0.0
1059,167,0,84.2615354407
1059,167,1,43.9435203762
1059,167,2,3.9492495096
1060,167,0,78.3707011455
1060,167,1,42.3670541455
1060,167,2,6.6525079805
1061,167,0,77.4622895203
1061,167,1,42.153539119
1061,167,2,7.1283096962
1062,167,0,83.8389555282
1062,167,1,44.6890906823
1062,167,2,5.8535900622
1063,167,0,92.4877568502
1063,167,1,47.2966897862
1063,167,2,2.4684963839
1064,167,0,92.5282522575
1064,167,1,46.6176108002
1064,167,2,1.0756210181
1065,167,0,88.8897567569
1065,167,1,44.6549823307
1065,167,2,0.7754027607
1066,167,0,88.0356572389
1066,167,1,44.11806724
1066,167,2,0.553125181
