month_id,country_id,draw,outcome
469,167,0,25
469,167,1,34
469,167,2,45
470,167,0,30
470,167,1,45
470,167,2,90
471,167,0,50
471,167,1,150
471,167,2,320
472,167,0,50
472,167,1,120
472,167,2,500
473,167,0,25
473,167,1,45
473,167,2,60
474,167,0,35
474,167,1,65
474,167,2,95
475,167,0,30
475,167,1,55
475,167,2,90
476,167,0,20
476,167,1,45
476,167,2,70
477,167,0,45
477,167,1,75
477,167,2,130
478,167,0,15
478,167,1,70
478,167,2,300
479,167,0,20
479,167,1,35
479,167,2,70
480,167,0,25
480,167,1,45
480,167,2,70
