month_id,country_id,draw,outcome
469,167,0,68
469,167,1,68
469,167,2,68
470,167,0,45
470,167,1,55
470,167,2,55
471,167,0,95
471,167,1,95
471,167,2,98
472,167,0,98
472,167,1,143
472,167,2,75
473,167,0,41
473,167,1,45
473,167,2,45
474,167,0,58
474,167,1,55
474,167,2,58
475,167,0,78
475,167,1,85
475,167,2,87
476,167,0,45
476,167,1,45
476,167,2,45
477,167,0,85
477,167,1,89
477,167,2,85
478,167,0,45
478,167,1,50
478,167,2,89
479,167,0,45
479,167,1,45
479,167,2,45
480,167,0,45
480,167,1,45
480,167,2,45
