month_id,country_id,draw,outcome
469,149,0,18
469,149,1,18
469,149,2,17
470,149,0,18
470,149,1,18
470,149,2,20
471,149,0,25
471,149,1,25
471,149,2,25
472,149,0,25
472,149,1,25
472,149,2,25
473,149,0,20
473,149,1,18
473,149,2,18
474,149,0,22
474,149,1,20
474,149,2,20
475,149,0,25
475,149,1,25
475,149,2,25
476,149,0,25
476,149,1,25
476,149,2,35
477,149,0,45
477,149,1,25
477,149,2,45
478,149,0,35
478,149,1,45
478,149,2,45
479,149,0,20
479,149,1,18
479,149,2,18
480,149,0,23
480,149,1,18
480,149,2,25
